"University_link","Picture_Url","University_Name","City","Rank_In_India","Rank_In_World","Comparison","Global_Score","Enrollment"
"https://www.usnews.com/education/best-global-universities/institute-of-post-graduate-medical-education-research-ipgmer-kolkata-529911","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Institute of Post Graduate Medical Education & Research (IPGMER), Kolkata","Kolkata","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/international-centre-for-theoretical-sciences-bengaluru-529778","https://www.usnews.com/static-atlas/assets/img/education/education.svg","International Centre for Theoretical Sciences, Bengaluru","Bengaluru","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/inter-university-centre-for-astronomy-astrophysics-529779","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Inter-University Centre for Astronomy & Astrophysics","Pune","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/jain-university-529958","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Jain University","Bangalore","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/king-georges-medical-university-529744","https://www.usnews.com/static-atlas/assets/img/education/education.svg","King George's Medical University","Lucknow","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/madurai-kamaraj-university-528889","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Madurai Kamaraj University","Madurai","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/mahatma-gandhi-university-kerala-529968","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Mahatma Gandhi University, Kerala","Kerala","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/maulana-azad-medical-college-530168","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Maulana Azad Medical College","New Delhi","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/maulana-azad-national-institute-of-technology-bhopal-529813","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Maulana Azad National Institute of Technology Bhopal","Bhopal","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/national-institute-of-technology-kurukshetra-529844","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Institute of Technology Kurukshetra","Kurukshetra","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/netaji-subhas-university-of-technology-530181","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Netaji Subhas University of Technology","Delhi","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/sanjay-gandhi-postgraduate-institute-of-medical-sciences-529743","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Sanjay Gandhi Postgraduate Institute of Medical Sciences","Lucknow","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/seth-gordhandas-sunderdas-medical-college-king-edward-memorial-hospital-529944","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Seth Gordhandas Sunderdas Medical College & King Edward Memorial Hospital","Mumbai","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/shoolini-university-530173","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Shoolini University","Bajhol","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/university-of-jammu-529652","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Jammu","Jammu Tawi","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/university-of-rajasthan-529445","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Rajasthan","Jaipur","Unranked","Unranked","","N/A","N/A"
