"University_link","Picture_Url","University_Name","City","Rank_In_Japan","Rank_In_World","Global_Score","Enrollment","Comparison","Comparison"
"https://www.usnews.com/education/best-global-universities/jichi-medical-university-529127","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Jichi Medical University","Shimotsuke","#78","#1,723","22.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/nippon-medical-school-529119","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nippon Medical School","Tokyo","#79","#1,741","21.9","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kyoto-institute-of-technology-529087","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyoto Institute of Technology","Kyoto","#80","#1,767","21.2","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/kansai-medical-university-529913","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kansai Medical University","Hirakata","#81","#1,771","21.1","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/meiji-university-530012","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Meiji University","Chiyoda","#82","#1,774","21.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/chuo-university-530015","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Chuo University","Tokyo","#83","#1,788","20.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/fukushima-medical-university-529542","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Fukushima Medical University","Fukushima City","#84","#1,798","20.1","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/oita-university-529501","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Oita University","Oita City","#84","#1,798","20.1","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/kwansei-gakuin-university-530072","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kwansei Gakuin University","Hyogo","#86","#1,803","20.0","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/saitama-medical-university-529373","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Saitama Medical University","Iruma","#87","#1,812","19.4","N/A","",""
"https://www.usnews.com/education/best-global-universities/kyorin-university-529361","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyorin University","Tokyo","#88","#1,813","19.3","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/nara-medical-university-529626","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nara Medical University","Kashihara","#89","#1,857","17.8","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-hyogo-529288","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Hyogo","Kobe","#89","#1,857","17.8","N/A","(tie)","(tie)"
"https://www.usnews.com/education/best-global-universities/shiga-university-of-medical-science-529486","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Shiga University of Medical Science","Otsu","#91","#1,861","17.7","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/iwate-university-529352","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Iwate University","Morioka","#92","#1,871","17.3","N/A","",""
"https://www.usnews.com/education/best-global-universities/doshisha-university-529524","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Doshisha University","Kyoto","#93","#1,873","17.1","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/akita-university-529499","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Akita University","Akita City","#94","#1,879","16.8","N/A","",""
"https://www.usnews.com/education/best-global-universities/ibaraki-university-529238","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Ibaraki University","Mito","#95","#1,883","16.6","N/A","",""
"https://www.usnews.com/education/best-global-universities/saint-marianna-university-529908","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Saint Marianna University","Kawasaki City","#96","#1,884","16.5","N/A","",""
"https://www.usnews.com/education/best-global-universities/hyogo-college-of-medicine-529298","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Hyogo College of Medicine","Nishinomiya","#97","#1,891","16.1","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/university-of-fukui-529297","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Fukui","Fukui","#98","#1,899","15.6","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/osaka-medical-college-529369","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Osaka Medical College","Osaka","#99","#1,911","15.0","N/A","",""
"https://www.usnews.com/education/best-global-universities/iwate-medical-university-529372","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Iwate Medical University","Morioka","#100","#1,919","14.3","N/A","",""
"https://www.usnews.com/education/best-global-universities/meijo-university-530101","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Meijo University","Nagoya","#101","#1,923","13.7","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/aichi-medical-university-529374","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Aichi Medical University","Nagakute","#102","#1,945","12.6","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/university-of-shizuoka-530115","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Shizuoka","Shizuoka","#103","#1,950","12.4","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/dokkyo-medical-university-529918","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Dokkyo Medical University","Shimotsugagun","#104","#1,960","11.5","N/A","(tie)",""
"https://www.usnews.com/education/best-global-universities/sapporo-medical-university-529250","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Sapporo Medical University","Sapporo","#105","#1,982","9.2","N/A","",""
"https://www.usnews.com/education/best-global-universities/asahikawa-medical-college-529946","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Asahikawa Medical College","Asahikawa","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/hiroshima-institute-of-technology-529435","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Hiroshima Institute of Technology","Hiroshima","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/kanazawa-medical-university-529368","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kanazawa Medical University","Kahoku","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/kawasaki-medical-school-529359","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kawasaki Medical School","Kurashiki","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/kyoto-university-of-education-529651","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kyoto University of Education","Kyoto","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/nagasaki-institute-of-applied-science-529751","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nagasaki Institute of Applied Science","Nagasaki","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/nara-womens-university-529792","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nara Womens University","Nara","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/national-defense-medical-college-japan-529925","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Defense Medical College - Japan","Tokorozawa","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/ochanomizu-university-529332","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Ochanomizu University","Tokyo","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/tohoku-medical-pharmaceutical-university-529932","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tohoku Medical & Pharmaceutical University","Sendai","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/tokyo-dental-college-530166","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tokyo Dental College","Chiyoda","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/toyohashi-university-of-technology-530193","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Toyohashi University of Technology","Toyohashi","Unranked","Unranked","N/A","N/A","",""
"https://www.usnews.com/education/best-global-universities/university-of-aizu-530177","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Aizu","Aizuwakamatsu","Unranked","Unranked","N/A","N/A","",""
