"University_link","Picture_Url","University_Name","City","Rank_In_Uk","Rank_In_World","Global_Score","Enrollment","Comparison"
"https://www.usnews.com/education/best-global-universities/university-of-west-england-529164","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of West England","Bristol","#72","#1,027","38.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/middlesex-university-528885","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Middlesex University","London (U.K.)","#73","#1,049","37.6","16,415","(tie)"
"https://www.usnews.com/education/best-global-universities/coventry-university-529401","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Coventry University","Coventry","#74","#1,080","37.1","33,395","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-huddersfield-529422","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Huddersfield","Huddersfield","#75","#1,085","36.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-salford-529039","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Salford","Salford","#76","#1,095","36.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/glasgow-caledonian-university-529566","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Glasgow Caledonian University","Glasgow","#77","#1,147","35.5","15,010","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-hertfordshire-505661","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Hertfordshire","Hatfield (U.K.)","#78","#1,172","34.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-greenwich-529153","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Greenwich","London (U.K.)","#79","#1,203","34.3","16,565","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-central-lancashire-529003","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Central Lancashire","Preston","#80","#1,239","33.6","20,030","(tie)"
"https://www.usnews.com/education/best-global-universities/de-montfort-university-529563","https://www.usnews.com/static-atlas/assets/img/education/education.svg","De Montfort University","Leicester","#81","#1,261","33.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-bradford-528905","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Bradford","Bradford","#82","#1,266","32.9","8,415","(tie)"
"https://www.usnews.com/education/best-global-universities/goldsmiths-university-london-529433","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Goldsmiths University London","London (U.K.)","#83","#1,317","31.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/kingston-university-529552","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kingston University","Kingston upon Thames","#83","#1,317","31.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/sheffield-hallam-university-529220","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Sheffield Hallam University","Sheffield","#83","#1,317","31.8","26,355","(tie)"
"https://www.usnews.com/education/best-global-universities/leeds-beckett-university-529564","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Leeds Beckett University","Leeds","#86","#1,365","30.9","19,105","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-derby-530046","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Derby","Derby","#87","#1,389","30.3","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-london-school-oriental-african-studies-soas-529061","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of London School Oriental & African Studies (SOAS)","London (U.K.)","#88","#1,463","28.6","4,685","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-westminster-529456","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Westminster","London (U.K.)","#89","#1,498","27.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-wolverhampton-529572","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Wolverhampton","Wolverhampton","#90","#1,526","27.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/roehampton-university-530001","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Roehampton University","London","#91","#1,712","22.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/edge-hill-university-530096","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Edge Hill University","Ormskirk","#92","#1,912","14.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/cardiff-metropolitan-university-529938","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Cardiff Metropolitan University","Cardiff","Unranked","Unranked","N/A","N/A",""
